experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,circle,True,bspline_ls,chord,40,0.04,1,0.019279066269034265,0.05920281583355147,0.08935468574464565,0.0004892861043508842,0.000419699998019496
noise_robustness,circle,True,cubic_spline,chord,40,0.06,1,0.00027248901882846873,0.12048645822274671,0.1468835010238508,0.0024949966456090165,0.0026790999982040375
noise_robustness,circle,True,bspline_interp,chord,40,0.06,1,0.001088745104888615,0.12984168889948544,0.20032756296351648,0.002253681893180111,0.0018638000001374166
noise_robustness,circle,True,poly_ls,chord,40,0.06,1,0.04899933912159212,0.0481588486237423,0.11868140267384776,0.000746984749437711,0.0006342999986372888
noise_robustness,circle,True,bspline_ls,chord,40,0.06,1,0.019792504273969964,0.09031672533953794,0.1367995050280886,0.0009943070926726762,0.0006928000002517365
noise_robustness,circle,True,cubic_spline,chord,40,0.0,2,1.3180049708411116e-05,0.00430061677289259,0.007217779398318999,0.0001579793260165643,0.0023628999988432042
noise_robustness,circle,True,bspline_interp,chord,40,0.0,2,1.3180055528349015e-05,0.004300616760663225,0.007217779396065393,0.00015797932599003224,0.0008345999995071907
noise_robustness,circle,True,poly_ls,chord,40,0.0,2,0.0008258695624594456,0.004970133203098295,0.006691565800003636,0.00016281493706575537,0.000565199999982724
noise_robustness,circle,True,bspline_ls,chord,40,0.0,2,0.023965222516478712,0.062286109297961134,0.07190875149172257,0.00015423789647345292,0.00030780000088270754
noise_robustness,circle,True,cubic_spline,chord,40,0.01,2,0.00015340594435907386,0.03715900008021464,0.11373833628568218,0.00082413579147582,0.0025220000025001355
noise_robustness,circle,True,bspline_interp,chord,40,0.01,2,0.0006156048417080645,0.03649821328830173,0.11619922156434268,0.000723770636526675,0.0009540000028209761
noise_robustness,circle,True,poly_ls,chord,40,0.01,2,0.006608188086334647,0.014561525745235834,0.01614925216015533,0.00025108042146229387,0.0006443999991461169
noise_robustness,circle,True,bspline_ls,chord,40,0.01,2,0.022033153336385575,0.05815835532050228,0.07637362834190504,0.00015446096255727586,0.0002705000006244518
noise_robustness,circle,True,cubic_spline,chord,40,0.02,2,0.00018470065813570944,0.05272475114788672,0.13797906371174698,0.0012752766732405255,0.002739200001087738
noise_robustness,circle,True,bspline_interp,chord,40,0.02,2,0.001054701507819934,0.052252343445395845,0.14109432547877518,0.0011536152874740103,0.0008533000000170432
noise_robustness,circle,True,poly_ls,chord,40,0.02,2,0.013069381081331394,0.02814689335464862,0.035130665776190645,0.00033719658318390433,0.0007283999984792899
noise_robustness,circle,True,bspline_ls,chord,40,0.02,2,0.017557754852676136,0.04045074357657456,0.06956625328630832,0.00015671401929565925,0.0006133999995654449
noise_robustness,circle,True,cubic_spline,chord,40,0.04,2,0.00026293140155996865,0.07868256506065746,0.16797965867242295,0.0017236869610467002,0.0060530999980983324
noise_robustness,circle,True,bspline_interp,chord,40,0.04,2,0.0019718044862406326,0.07810942422688666,0.1712119425693688,0.001579981206770365,0.002014099998632446
noise_robustness,circle,True,poly_ls,chord,40,0.04,2,0.027235005206777706,0.05173177414415821,0.06592765936520247,0.0005303291058704171,0.0008951000017987099
noise_robustness,circle,True,bspline_ls,chord,40,0.04,2,0.024327433785882587,0.06674773409303753,0.11956885461952166,0.0005457385956665744,0.0004071000003023073
noise_robustness,circle,True,cubic_spline,chord,40,0.06,2,0.00022628746097617722,0.10654112224921826,0.19843674081032694,0.0022926832787896027,0.0029888999997638166
noise_robustness,circle,True,bspline_interp,chord,40,0.06,2,0.0028517524735080643,0.1056335480045604,0.2005786706375075,0.0021416159662873565,0.0011053000016545411
noise_robustness,circle,True,poly_ls,chord,40,0.06,2,0.04229778817374446,0.07516920780086483,0.09455586937577876,0.0006163280791260508,0.00048769999921205454
