t,s,i,r,N,I0,alpha,phase,R0_basic
1.0726027397260274,0.014558547311308383,3.4329963237869853e-23,0.9854414526886905,10000,20,0.0,0.0,8.0
1.073972602739726,0.014577831691160973,3.2235561973210675e-23,0.985422168308838,10000,20,0.0,0.0,8.0
1.0753424657534247,0.014597115693632132,3.026926860063976e-23,0.9854028843063668,10000,20,0.0,0.0,8.0
1.0767123287671232,0.01461639931872924,2.8423226924073436e-23,0.9853836006812697,10000,20,0.0,0.0,8.0
1.0780821917808219,0.014635682566459689,2.6690063762108577e-23,0.9853643174335392,10000,20,0.0,0.0,8.0
1.0794520547945206,0.014654965436830862,2.506285917580286e-23,0.9853450345631681,10000,20,0.0,0.0,8.0
1.0808219178082192,0.014674247929850143,2.353511853619223e-23,0.9853257520701488,10000,20,0.0,0.0,8.0
1.082191780821918,0.014693530045524915,2.210074631758084e-23,0.985306469954474,10000,20,0.0,0.0,8.0
1.0835616438356164,0.014712811783862561,2.075402150971036e-23,0.9852871882161364,10000,20,0.0,0.0,8.0
1.084931506849315,0.014732093144870471,1.9489574548553372e-23,0.9852679068551284,10000,20,0.0,0.0,8.0
1.0863013698630137,0.014751374128556026,1.83023656717037e-23,0.9852486258714429,10000,20,0.0,0.0,8.0
1.0876712328767124,0.01477065473492661,1.7187664610165713e-23,0.9852293452650723,10000,20,0.0,0.0,8.0
1.0890410958904109,0.014789934963989605,1.6141031533825785e-23,0.9852100650360094,10000,20,0.0,0.0,8.0
1.0904109589041096,0.014809214815752397,1.5158299173016374e-23,0.9851907851842466,10000,20,0.0,0.0,8.0
1.0917808219178082,0.01482849429022237,1.42355560434018e-23,0.9851715057097766,10000,20,0.0,0.0,8.0
1.093150684931507,0.014847773387406905,1.3369130705922952e-23,0.985152226612592,10000,20,0.0,0.0,8.0
1.0945205479452056,0.014867052107313388,1.2555576997777698e-23,0.9851329478926856,10000,20,0.0,0.0,8.0
1.095890410958904,0.014886330449949196,1.1791660174380513e-23,0.9851136695500498,10000,20,0.0,0.0,8.0
1.0972602739726027,0.014905608415321719,1.1074343905968823e-23,0.9850943915846773,10000,20,0.0,0.0,8.0
1.0986301369863014,0.014924886003438338,1.0400778076017922e-23,0.9850751139965607,10000,20,0.0,0.0,8.0
1.1,0.014944163214306435,9.768287331897151e-24,0.9850558367856925,10000,20,0.0,0.0,8.0
1.1013698630136985,0.014963440047933388,9.174360341275988e-24,0.9850365599520656,10000,20,0.0,0.0,8.0
1.1027397260273972,0.014982716504326588,8.616639710666174e-24,0.9850172834956724,10000,20,0.0,0.0,8.0
1.104109589041096,0.015001992583493412,8.092912525190706e-24,0.9849980074165056,10000,20,0.0,0.0,8.0
1.1054794520547946,0.015021268285441243,7.601101471201046e-24,0.9849787317145577,10000,20,0.0,0.0,8.0
1.1068493150684933,0.015040543610177462,7.139256505743961e-24,0.9849594563898215,10000,20,0.0,0.0,8.0
1.1082191780821917,0.015059818557709449,6.70554703910656e-24,0.9849401814422896,10000,20,0.0,0.0,8.0
1.1095890410958904,0.01507909312804459,6.2982545987590526e-24,0.9849209068719544,10000,20,0.0,0.0,8.0
1.110958904109589,0.015098367321190265,5.915765944977083e-24,0.9849016326788088,10000,20,0.0,0.0,8.0
1.1123287671232878,0.015117641137153855,5.556566610262377e-24,0.9848823588628453,10000,20,0.0,0.0,8.0
1.1136986301369862,0.015136914575942738,5.219234836408147e-24,0.9848630854240563,10000,20,0.0,0.0,8.0
1.115068493150685,0.0151561876375643,4.902435884671988e-24,0.9848438123624348,10000,20,0.0,0.0,8.0
1.1164383561643836,0.01517546032202592,4.604916696038461e-24,0.9848245396779731,10000,20,0.0,0.0,8.0
1.1178082191780823,0.015194732629334979,4.3255008799752486e-24,0.9848052673706641,10000,20,0.0,0.0,8.0
1.1191780821917807,0.015214004559498855,4.063084011424162e-24,0.9847859954405003,10000,20,0.0,0.0,8.0
1.1205479452054794,0.015233276112524933,3.8166292170194256e-24,0.9847667238874742,10000,20,0.0,0.0,8.0
1.121917808219178,0.015252547288420591,3.585163032701946e-24,0.9847474527115786,10000,20,0.0,0.0,8.0
1.1232876712328768,0.01527181808719321,3.36777151599889e-24,0.984728181912806,10000,20,0.0,0.0,8.0
1.1246575342465754,0.01529108850885017,3.1635965972732693e-24,0.984708911491149,10000,20,0.0,0.0,8.0
1.126027397260274,0.015310358553398845,2.971832655217173e-24,0.9846896414466003,10000,20,0.0,0.0,8.0
1.1273972602739726,0.015329628220846624,2.791723302772151e-24,0.9846703717791525,10000,20,0.0,0.0,8.0
1.1287671232876713,0.015348897511200882,2.622558370514234e-24,0.9846511024887983,10000,20,0.0,0.0,8.0
1.13013698630137,0.015368166424468999,2.4636710753405796e-24,0.9846318335755302,10000,20,0.0,0.0,8.0
1.1315068493150684,0.015387434960658352,2.3144353630468367e-24,0.9846125650393408,10000,20,0.0,0.0,8.0
1.132876712328767,0.015406703119776325,2.174263414088011e-24,0.9845932968802228,10000,20,0.0,0.0,8.0
1.1342465753424658,0.015425970901830293,2.04260330247724e-24,0.9845740290981688,10000,20,0.0,0.0,8.0
1.1356164383561644,0.015445238306827638,1.918936798396036e-24,0.9845547616931715,10000,20,0.0,0.0,8.0
1.1369863013698631,0.015464505334775737,1.802777305672031e-24,0.9845354946652234,10000,20,0.0,0.0,8.0
1.1383561643835616,0.015483771985681963,1.6936679258254542e-24,0.9845162280143172,10000,20,0.0,0.0,8.0
1.1397260273972603,0.015503038259553705,1.5911796408975253e-24,0.9844969617404454,10000,20,0.0,0.0,8.0
1.141095890410959,0.015522304156398336,1.4949096077545525e-24,0.9844776958436008,10000,20,0.0,0.0,8.0
1.1424657534246576,0.015541569676223234,1.4044795570114764e-24,0.9844584303237759,10000,20,0.0,0.0,8.0
1.143835616438356,0.015560834819035774,1.319534290141946e-24,0.9844391651809633,10000,20,0.0,0.0,8.0
1.1452054794520548,0.01558009958484334,1.2397402687381208e-24,0.9844199004151557,10000,20,0.0,0.0,8.0
1.1465753424657534,0.015599363973653309,1.1647842902558853e-24,0.9844006360263458,10000,20,0.0,0.0,8.0
1.1479452054794521,0.015618627985473055,1.094372244929745e-24,0.984381372014526,10000,20,0.0,0.0,8.0
1.1493150684931508,0.015637891620309957,1.0282279488696693e-24,0.9843621083796891,10000,20,0.0,0.0,8.0
1.1506849315068493,0.01565715487817139,9.66092048659159e-25,0.9843428451218277,10000,20,0.0,0.0,8.0
1.152054794520548,0.015676417759064736,9.07720993062144e-25,0.9843235822409343,10000,20,0.0,0.0,8.0
1.1534246575342466,0.01569568026299737,8.52886067717023e-25,0.9843043197370017,10000,20,0.0,0.0,8.0
1.1547945205479453,0.015714942389976668,8.013724889496047e-25,0.9842850576100224,10000,20,0.0,0.0,8.0
1.1561643835616437,0.015734204140010005,7.529785530752153e-25,0.9842657958599891,10000,20,0.0,0.0,8.0
1.1575342465753424,0.01575346551310476,7.075148377833997e-25,0.9842465344868944,10000,20,0.0,0.0,8.0
1.158904109589041,0.015772726509268312,6.648034524085356e-25,0.9842272734907308,10000,20,0.0,0.0,8.0
1.1602739726027398,0.015791987128508034,6.2467733408610945e-25,0.9842080128714911,10000,20,0.0,0.0,8.0
1.1616438356164385,0.0158112473708313,5.869795869792565e-25,0.9841887526291678,10000,20,0.0,0.0,8.0
1.163013698630137,0.015830507236245486,5.515628619332052e-25,0.9841694927637537,10000,20,0.0,0.0,8.0
1.1643835616438356,0.015849766724757974,5.182887740777943e-25,0.9841502332752412,10000,20,0.0,0.0,8.0
1.1657534246575343,0.015869025836376137,4.87027356050838e-25,0.984130974163623,10000,20,0.0,0.0,8.0
1.167123287671233,0.015888284571107348,4.576565446580055e-25,0.9841117154288919,10000,20,0.0,0.0,8.0
1.1684931506849314,0.01590754292895898,4.3006169891936235e-25,0.9840924570710402,10000,20,0.0,0.0,8.0
1.16986301369863,0.015926800909938414,4.041351475785637e-25,0.9840731990900607,10000,20,0.0,0.0,8.0
1.1712328767123288,0.015946058514053025,3.7977576426905886e-25,0.9840539414859462,10000,20,0.0,0.0,8.0
1.1726027397260275,0.015965315741310188,3.5688856864245473e-25,0.984034684258689,10000,20,0.0,0.0,8.0
1.1739726027397261,0.015984572591717275,3.3538435186845628e-25,0.984015427408282,10000,20,0.0,0.0,8.0
1.1753424657534246,0.01600382906528166,3.1517932501341576e-25,0.9839961709347176,10000,20,0.0,0.0,8.0
1.1767123287671233,0.01602308516201072,2.961947888962169e-25,0.9839769148379885,10000,20,0.0,0.0,8.0
1.178082191780822,0.01604234088191183,2.783568241063263e-25,0.9839576591180874,10000,20,0.0,0.0,8.0
1.1794520547945206,0.016061596224992362,2.6159599994947485e-25,0.9839384037750069,10000,20,0.0,0.0,8.0
1.180821917808219,0.01608085119125969,2.458471011623248e-25,0.9839191488087395,10000,20,0.0,0.0,8.0
1.1821917808219178,0.01610010578072119,2.3104887130850463e-25,0.983899894219278,10000,20,0.0,0.0,8.0
1.1835616438356165,0.016119359993384232,2.1714377183520526e-25,0.983880640006615,10000,20,0.0,0.0,8.0
1.1849315068493151,0.016138613829256195,2.0407775583207213e-25,0.983861386170743,10000,20,0.0,0.0,8.0
1.1863013698630136,0.016157867288344445,1.9180005559299776e-25,0.9838421327116548,10000,20,0.0,0.0,8.0
1.1876712328767123,0.016177120370656366,1.8026298313651573e-25,0.9838228796293429,10000,20,0.0,0.0,8.0
1.189041095890411,0.016196373076199325,1.6942174289232963e-25,0.9838036269238,10000,20,0.0,0.0,8.0
1.1904109589041096,0.016215625404980696,1.5923425581002783e-25,0.9837843745950186,10000,20,0.0,0.0,8.0
1.1917808219178083,0.016234877357007852,1.4966099419170817e-25,0.9837651226429914,10000,20,0.0,0.0,8.0
1.1931506849315068,0.016254128932288163,1.4066482659299593e-25,0.9837458710677112,10000,20,0.0,0.0,8.0
1.1945205479452055,0.016273380130829004,1.3221087217711347e-25,0.9837266198691703,10000,20,0.0,0.0,8.0
1.1958904109589041,0.01629263095263775,1.2426636394439023e-25,0.9837073690473616,10000,20,0.0,0.0,8.0
1.1972602739726028,0.01631188139772177,1.1680052029493783e-25,0.9836881186022776,10000,20,0.0,0.0,8.0
1.1986301369863013,0.016331131466088434,1.0978442441548073e-25,0.9836688685339109,10000,20,0.0,0.0,8.0
1.2,0.01635038115774512,1.0319091101246733e-25,0.9836496188422542,10000,20,0.0,0.0,8.0
1.2013698630136986,0.0163696304726992,9.699445994288081e-26,0.9836303695273001,10000,20,0.0,0.0,8.0
1.2027397260273973,0.01638887941095804,9.11710963215912e-26,0.9836111205890412,10000,20,0.0,0.0,8.0
1.204109589041096,0.016408127972529017,8.569829670990799e-26,0.9835918720274702,10000,20,0.0,0.0,8.0
1.2054794520547945,0.016427376157419498,8.055490101416596e-26,0.9835726238425797,10000,20,0.0,0.0,8.0
1.2068493150684931,0.01644662396563686,7.572102974589014e-26,0.9835533760343623,10000,20,0.0,0.0,8.0
1.2082191780821918,0.01646587139718847,7.117800631642072e-26,0.9835341286028108,10000,20,0.0,0.0,8.0
1.2095890410958905,0.0164851184520817,6.690828405886037e-26,0.9835148815479176,10000,20,0.0,0.0,8.0
1.210958904109589,0.016504365130323915,6.289537768901964e-26,0.9834956348696753,10000,20,0.0,0.0,8.0
1.2123287671232876,0.0165236114319225,5.912379893464596e-26,0.9834763885680767,10000,20,0.0,0.0,8.0
1.2136986301369863,0.01654285735688481,5.55789960787922e-26,0.9834571426431145,10000,20,0.0,0.0,8.0
1.215068493150685,0.01656210290521823,5.22472971786933e-26,0.983437897094781,10000,20,0.0,0.0,8.0
1.2164383561643837,0.016581348076930118,4.911585673612692e-26,0.9834186519230691,10000,20,0.0,0.0,8.0
1.2178082191780821,0.016600592872027847,4.617260560891123e-26,0.9833994071279714,10000,20,0.0,0.0,8.0
1.2191780821917808,0.016619837290518795,4.3406203966045957e-26,0.9833801627094804,10000,20,0.0,0.0,8.0
1.2205479452054795,0.016639081332410325,4.080599710107699e-26,0.9833609186675888,10000,20,0.0,0.0,8.0
1.2219178082191782,0.01665832499770981,3.8361973929573627e-26,0.9833416750022893,10000,20,0.0,0.0,8.0
1.2232876712328766,0.016677568286424613,3.6064728007257084e-26,0.9833224317135745,10000,20,0.0,0.0,8.0
1.2246575342465753,0.01669681119856211,3.3905420915287266e-26,0.983303188801437,10000,20,0.0,0.0,8.0
1.226027397260274,0.01671605373412967,3.187574786859625e-26,0.9832839462658695,10000,20,0.0,0.0,8.0
