alpha,sample_index,t_sample,i_sample
0.36000000000000004,18,78.0,2.9259831364889973e-09
0.36000000000000004,19,79.0,0.0012562211290460497
0.36000000000000004,20,80.0,8.218396536490279e-15
0.36000000000000004,21,81.0,2.2132513205137106e-21
0.36000000000000004,22,82.0,2.2607148953443027e-23
0.36000000000000004,23,83.0,7.54194516140998e-21
0.36000000000000004,24,84.0,7.091072587848684e-14
0.36000000000000004,25,85.0,0.010398754194688291
0.36000000000000004,26,86.0,5.078561915909469e-16
0.36000000000000004,27,87.0,8.431761081233227e-26
0.36000000000000004,28,88.0,5.896549930246527e-31
0.36000000000000004,29,89.0,1.493436407498983e-31
0.36000000000000004,30,90.0,1.1803732594101064e-27
0.36000000000000004,31,91.0,2.513870049956551e-19
0.36000000000000004,32,92.0,1.2481918637694708e-06
0.36000000000000004,33,93.0,3.800541168561738e-12
0.36000000000000004,34,94.0,1.0739604487974524e-19
0.36000000000000004,35,95.0,1.188474870815949e-22
0.36000000000000004,36,96.0,4.433076170542603e-21
0.36000000000000004,37,97.0,4.807389069963918e-15
0.36000000000000004,38,98.0,0.0001304009585215283
0.36000000000000004,39,99.0,6.014648593249166e-14
0.36000000000000004,40,100.0,1.2626587391749918e-22
0.36000000000000004,41,101.0,1.0770478503271848e-26
0.36000000000000004,42,102.0,3.2113326629774077e-26
0.36000000000000004,43,103.0,2.8852896448278193e-21
0.36000000000000004,44,104.0,6.748508654295088e-12
0.36000000000000004,45,105.0,0.001170971552073357
0.36000000000000004,46,106.0,6.907581026325989e-17
0.36000000000000004,47,107.0,1.8623050353962062e-25
0.36000000000000004,48,108.0,2.0328619248371377e-29
0.36000000000000004,49,109.0,7.729421560698275e-29
0.36000000000000004,50,110.0,8.825557447125972e-24
0.36000000000000004,51,111.0,2.6144167535652007e-14
0.36000000000000004,52,112.0,0.012719575648787059
0.36000000000000004,53,113.0,2.2850777106408242e-17
0.36000000000000004,54,114.0,1.5740189927913038e-27
0.36000000000000004,55,115.0,4.62423781245716e-33
0.36000000000000004,56,116.0,4.981060689957429e-34
0.36000000000000004,57,117.0,1.6947836378424918e-30
0.36000000000000004,58,118.0,1.5724987296774148e-22
0.36000000000000004,59,119.0,3.4420547086788987e-10
0.36000000000000004,60,120.0,0.004127815050817464
0.37333333333333335,1,61.0,0.008543577506323874
0.37333333333333335,2,62.0,3.4253164613048064e-15
0.37333333333333335,3,63.0,4.0261014641184436e-23
0.37333333333333335,4,64.0,1.8764240253183278e-26
0.37333333333333335,5,65.0,2.984129287118756e-25
0.37333333333333335,6,66.0,1.3965119821191634e-19
0.37333333333333335,7,67.0,1.6619444703958949e-09
0.37333333333333335,8,68.0,0.003323407116929004
0.37333333333333335,9,69.0,7.824796654803194e-14
0.37333333333333335,10,70.0,6.087957889132927e-20
0.37333333333333335,11,71.0,1.769726930558417e-21
0.37333333333333335,12,72.0,1.6554664061030187e-18
0.37333333333333335,13,73.0,4.301033546292069e-11
0.37333333333333335,14,74.0,0.0029342006926127984
0.37333333333333335,15,75.0,7.772056837203372e-17
0.37333333333333335,16,76.0,9.112201398180135e-26
0.37333333333333335,17,77.0,4.376955909039449e-30
0.37333333333333335,18,78.0,7.409003302170619e-30
0.37333333333333335,19,79.0,3.809680461258002e-25
0.37333333333333335,20,80.0,5.14007347211e-16
0.37333333333333335,21,81.0,0.010825948854610992
0.37333333333333335,22,82.0,1.1048790317410206e-16
0.37333333333333335,23,83.0,3.2917134003304076e-27
0.37333333333333335,24,84.0,4.2326582953700626e-33
0.37333333333333335,25,85.0,2.0190431573074956e-34
0.37333333333333335,26,86.0,3.077559146162283e-31
0.37333333333333335,27,87.0,1.2938902096370912e-23
0.37333333333333335,28,88.0,1.2978255891160756e-11
0.37333333333333335,29,89.0,0.00037845714866087166
0.37333333333333335,30,90.0,8.06924810974749e-15
0.37333333333333335,31,91.0,7.277388762750587e-21
0.37333333333333335,32,92.0,2.4470582470235953e-22
0.37333333333333335,33,93.0,2.6423818634720983e-19
0.37333333333333335,34,94.0,7.908623021310446e-12
0.37333333333333335,35,95.0,0.006063415270578365
0.37333333333333335,36,96.0,5.194099563873601e-17
0.37333333333333335,37,97.0,1.8758678822400483e-26
