t,model,s,i,r,R0,beta,gamma,beta0,mu
7.221917808219178,demographic_sir,0.09704308142521571,4.332815396215753e-44,0.9029569185747874,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2246575342465755,demographic_sir,0.09707842151321633,4.623662426753846e-44,0.9029215784867868,15.0,,52.0,780.2142857142857,0.014285714285714285
7.227397260273973,demographic_sir,0.0971137602180703,4.934405754126036e-44,0.9028862397819328,15.0,,52.0,780.2142857142857,0.014285714285714285
7.23013698630137,demographic_sir,0.0971490975398318,5.266431063705749e-44,0.9028509024601714,15.0,,52.0,780.2142857142857,0.014285714285714285
7.232876712328768,demographic_sir,0.09718443347855492,5.621222206994016e-44,0.9028155665214483,15.0,,52.0,780.2142857142857,0.014285714285714285
7.235616438356164,demographic_sir,0.09721976803429379,6.000368270054325e-44,0.9027802319657094,15.0,,52.0,780.2142857142857,0.014285714285714285
7.238356164383561,demographic_sir,0.09725510120710255,6.405571158891583e-44,0.9027448987929007,15.0,,52.0,780.2142857142857,0.014285714285714285
7.241095890410959,demographic_sir,0.09729043299703534,6.838653740147852e-44,0.9027095670029679,15.0,,52.0,780.2142857142857,0.014285714285714285
7.243835616438356,demographic_sir,0.09732576340414627,7.301568578381709e-44,0.902674236595857,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2465753424657535,demographic_sir,0.09736109242848946,7.796407314304214e-44,0.9026389075715138,15.0,,52.0,780.2142857142857,0.014285714285714285
7.249315068493151,demographic_sir,0.09739642007011903,8.325410731695213e-44,0.9026035799298843,15.0,,52.0,780.2142857142857,0.014285714285714285
7.252054794520548,demographic_sir,0.09743174632908909,8.890979564327207e-44,0.9025682536709142,15.0,,52.0,780.2142857142857,0.014285714285714285
7.254794520547946,demographic_sir,0.09746707120545377,9.49568609810435e-44,0.9025329287945495,15.0,,52.0,780.2142857142857,0.014285714285714285
7.257534246575343,demographic_sir,0.09750239469926716,1.0142286627801923e-43,0.9024976053007361,15.0,,52.0,780.2142857142857,0.014285714285714285
7.260273972602739,demographic_sir,0.09753771681058339,1.0833734832289486e-43,0.9024622831894198,15.0,,52.0,780.2142857142857,0.014285714285714285
7.263013698630137,demographic_sir,0.09757303753945658,1.1573196136966178e-43,0.9024269624605465,15.0,,52.0,780.2142857142857,0.014285714285714285
7.265753424657534,demographic_sir,0.0976083568859408,1.2364063137347694e-43,0.9023916431140623,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2684931506849315,demographic_sir,0.09764367485009018,1.3209972163369503e-43,0.9023563251499129,15.0,,52.0,780.2142857142857,0.014285714285714285
7.271232876712329,demographic_sir,0.09767899143195882,1.4114821070012759e-43,0.9023210085680443,15.0,,52.0,780.2142857142857,0.014285714285714285
7.273972602739726,demographic_sir,0.09771430663160083,1.508278834638004e-43,0.9022856933684023,15.0,,52.0,780.2142857142857,0.014285714285714285
7.276712328767124,demographic_sir,0.09774962044907028,1.6118353642365184e-43,0.9022503795509328,15.0,,52.0,780.2142857142857,0.014285714285714285
7.279452054794521,demographic_sir,0.09778493288442128,1.722631981962251e-43,0.9022150671155817,15.0,,52.0,780.2142857142857,0.014285714285714285
7.282191780821917,demographic_sir,0.09782024393770791,1.841183664168546e-43,0.9021797560622952,15.0,,52.0,780.2142857142857,0.014285714285714285
7.284931506849315,demographic_sir,0.09785555360898429,1.9680426226862843e-43,0.9021444463910188,15.0,,52.0,780.2142857142857,0.014285714285714285
7.287671232876712,demographic_sir,0.0978908618983045,2.103801039698756e-43,0.9021091381016986,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2904109589041095,demographic_sir,0.09792616880572261,2.2490940065294204e-43,0.9020738311942804,15.0,,52.0,780.2142857142857,0.014285714285714285
7.293150684931507,demographic_sir,0.09796147433129272,2.4046026817666707e-43,0.9020385256687102,15.0,,52.0,780.2142857142857,0.014285714285714285
7.295890410958904,demographic_sir,0.09799677847506892,2.571057685333621e-43,0.9020032215249341,15.0,,52.0,780.2142857142857,0.014285714285714285
7.298630136986302,demographic_sir,0.09803208123710527,2.749242746385725e-43,0.9019679187628977,15.0,,52.0,780.2142857142857,0.014285714285714285
7.301369863013699,demographic_sir,0.09806738261745587,2.939998624293337e-43,0.9019326173825472,15.0,,52.0,780.2142857142857,0.014285714285714285
7.304109589041096,demographic_sir,0.09810268261617477,3.1442273234476333e-43,0.9018973173838283,15.0,,52.0,780.2142857142857,0.014285714285714285
7.306849315068493,demographic_sir,0.09813798123331606,3.3628966242249904e-43,0.9018620187666869,15.0,,52.0,780.2142857142857,0.014285714285714285
7.30958904109589,demographic_sir,0.09817327846893383,3.597044954166799e-43,0.9018267215310691,15.0,,52.0,780.2142857142857,0.014285714285714285
7.3123287671232875,demographic_sir,0.09820857432308211,3.84778662528597e-43,0.9017914256769208,15.0,,52.0,780.2142857142857,0.014285714285714285
7.315068493150685,demographic_sir,0.09824386879581501,4.116317465414734e-43,0.901756131204188,15.0,,52.0,780.2142857142857,0.014285714285714285
7.317808219178082,demographic_sir,0.09827916188718656,4.403920873663326e-43,0.9017208381128163,15.0,,52.0,780.2142857142857,0.014285714285714285
7.32054794520548,demographic_sir,0.09831445359725086,4.7119743323869555e-43,0.901685546402752,15.0,,52.0,780.2142857142857,0.014285714285714285
7.323287671232877,demographic_sir,0.09834974392606194,5.041956410566772e-43,0.9016502560739409,15.0,,52.0,780.2142857142857,0.014285714285714285
7.326027397260274,demographic_sir,0.09838503287367387,5.3954542962161934e-43,0.9016149671263289,15.0,,52.0,780.2142857142857,0.014285714285714285
7.328767123287672,demographic_sir,0.09842032044014072,5.7741718983420585e-43,0.9015796795598621,15.0,,52.0,780.2142857142857,0.014285714285714285
7.331506849315068,demographic_sir,0.09845560662551653,6.179938562137426e-43,0.9015443933744862,15.0,,52.0,780.2142857142857,0.014285714285714285
7.3342465753424655,demographic_sir,0.09849089142985537,6.614718444478911e-43,0.9015091085701474,15.0,,52.0,780.2142857142857,0.014285714285714285
7.336986301369863,demographic_sir,0.09852617485321129,7.080620600461204e-43,0.9014738251467915,15.0,,52.0,780.2142857142857,0.014285714285714285
7.33972602739726,demographic_sir,0.0985614568956383,7.579909835657257e-43,0.9014385431043644,15.0,,52.0,780.2142857142857,0.014285714285714285
7.342465753424658,demographic_sir,0.0985967375571905,8.1150183830511e-43,0.9014032624428123,15.0,,52.0,780.2142857142857,0.014285714285714285
7.345205479452055,demographic_sir,0.09863201683792192,8.688558468192606e-43,0.901367983162081,15.0,,52.0,780.2142857142857,0.014285714285714285
