t,beta_t,i_t,alpha,R0,beta0
44.97260273972603,1010.819126273495,4.999667324516382e-08,0.3,15.0,780.2142857142857
44.97534246575343,1011.475105222384,5.7563160232472224e-08,0.3,15.0,780.2142857142857
44.97808219178082,1012.0625565994335,6.629276159916088e-08,0.3,15.0,780.2142857142857
44.98082191780822,1012.5813063301258,7.636550763058859e-08,0.3,15.0,780.2142857142857
44.983561643835614,1013.0312006977174,8.798926385292199e-08,0.3,15.0,780.2142857142857
44.986301369863014,1013.4121063888005,1.014039956017368e-07,0.3,15.0,780.2142857142857
44.989041095890414,1013.723910532796,1.168866743174503e-07,0.3,15.0,780.2142857142857
44.99178082191781,1013.9665207354076,1.347569194190224e-07,0.3,15.0,780.2142857142857
44.99452054794521,1014.1398651059957,1.553834827625186e-07,0.3,15.0,780.2142857142857
44.9972602739726,1014.2438922788823,1.7919169757884563e-07,0.3,15.0,780.2142857142857
45.0,1014.2785714285714,2.066720306140564e-07,0.3,15.0,780.2142857142857
45.0027397260274,1014.2438922788823,2.3838989518666883e-07,0.3,15.0,780.2142857142857
45.00547945205479,1014.1398651059957,2.7499690429002986e-07,0.3,15.0,780.2142857142857
45.00821917808219,1013.9665207354076,3.1724376696654395e-07,0.3,15.0,780.2142857142857
45.010958904109586,1013.723910532797,3.6599505826816644e-07,0.3,15.0,780.2142857142857
45.013698630136986,1013.4121063888017,4.2224612352150207e-07,0.3,15.0,780.2142857142857
45.016438356164386,1013.0312006977192,4.871424116717483e-07,0.3,15.0,780.2142857142857
45.01917808219178,1012.5813063301263,5.620015705866536e-07,0.3,15.0,780.2142857142857
45.02191780821918,1012.0625565994336,6.48338679741994e-07,0.3,15.0,780.2142857142857
45.02465753424658,1011.4751052223822,7.478950431264814e-07,0.3,15.0,780.2142857142857
45.02739726027397,1010.8191262734954,8.626710179581501e-07,0.3,15.0,780.2142857142857
45.03013698630137,1010.0948141334886,9.949634133590485e-07,0.3,15.0,780.2142857142857
45.032876712328765,1009.3023834316858,1.1474080580029987e-06,0.3,15.0,780.2142857142857
45.035616438356165,1008.4420689824004,1.3230282074634429e-06,0.3,15.0,780.2142857142857
45.038356164383565,1007.5141257153737,1.5252895410278234e-06,0.3,15.0,780.2142857142857
45.04109589041096,1006.5188286002256,1.7581625847122926e-06,0.3,15.0,780.2142857142857
45.04383561643836,1005.4564725649651,2.0261934925632077e-06,0.3,15.0,780.2142857142857
45.04657534246575,1004.3273724086198,2.3345842226131318e-06,0.3,15.0,780.2142857142857
45.04931506849315,1003.1318627079265,2.689283257566369e-06,0.3,15.0,780.2142857142857
45.05205479452055,1001.8702977182148,3.0970881437494326e-06,0.3,15.0,780.2142857142857
45.054794520547944,1000.5430512684177,3.565761255555945e-06,0.3,15.0,780.2142857142857
45.057534246575344,999.1505166503025,4.104160336639368e-06,0.3,15.0,780.2142857142857
45.06027397260274,997.6931065019348,4.722385523625601e-06,0.3,15.0,780.2142857142857
45.06301369863014,996.1712526853858,5.431944723085034e-06,0.3,15.0,780.2142857142857
45.06575342465754,994.5854061587897,6.245939387400761e-06,0.3,15.0,780.2142857142857
45.06849315068493,992.936036842704,7.179272919639458e-06,0.3,15.0,780.2142857142857
45.07123287671233,991.2236334808417,8.248884130280963e-06,0.3,15.0,780.2142857142857
